,course,ccm_web_site,social_media,community_event,family_member_or_friend,current_ccm_student,ccm_alumni,high_school_teacher,high_school_counselor,in-app_advertisement,employer,billboard,television,radio,other,program,interest,gender,race,age
39,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Information Technology,,Prefer not to say,Asian,18 and younger
40,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Architecture and Design ,4.0,Man,African American,21-24
41,CMP 128,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Architecture and Design ,4.0,Man,African American,21-24
42,CMP 128,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,mechanical engineering ,4.0,Man,White,18 and younger
43,CMP 128,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Nursing,1.0,Woman,Multi-Racial,19-20
44,CMP 128,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,Business Administration,5.0,Man,Hispanic,25-34
45,CMP 128,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Don't recall,Engineering,3.0,Man,White,19-20
46,CMP 128,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Computer Science,,Man,White,19-20
47,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Undecided,3.0,Man,White,19-20
48,CMP 128,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Undecided,3.0,Man,White,19-20
49,CMP 128,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Undecided,5.0,Man,White,18 and younger
50,CMP 128,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,electrical engineering ,3.0,Woman,White,18 and younger
51,CMP 128,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No,electrical engineering ,3.0,Woman,White,18 and younger
52,CMP 128,Yes,Don't recall,Don't recall,Don't recall,Yes,No,Yes,Yes,No,No,No,No,No,No,Computer Science,,Man,African American,18 and younger
53,CMP 128,Yes,No,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,Mechanical Engineering Technology,4.0,Man,Hispanic,18 and younger
54,CMP 128,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,21-24
55,CMP 239,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Information Technology,,Man,Hispanic,25-34
